preprocessing_strategy,k,mean_silhouette,std_silhouette,mean_davies_bouldin,std_davies_bouldin,mean_calinski_harabasz,std_calinski_harabasz,average_smallest_cluster_percentage,average_largest_cluster_percentage,mean_pairwise_ari
standard,2,0.4136116073616606,1.0184575135519465e-05,1.0240990508476875,3.441772385932288e-05,2522.9227105812633,0.0011746817972899401,41.38142225246683,58.61857774753317,0.9994552164354514
standard,3,0.4189415960700453,0.0,0.8875440687092269,5.551115123125783e-17,3011.077695682232,0.0,0.23817625042531473,56.805035726437566,1.0
standard,4,0.3792478214490312,2.205132468083834e-05,0.9139917564307904,0.00022831194528877705,3071.81733361823,0.0077989566155284105,0.23817625042531473,39.251446070091866,0.9979896463481571
standard,5,0.41854599020418704,8.113131085577537e-05,0.8884686281315466,0.000549184101690365,3191.6408431057434,0.04364951584429319,0.187138482477033,34.62742429397754,0.9934834464747911
standard,6,0.419765679246875,0.0008505760885862123,0.8924120176713652,0.0013802296838909347,3287.8993906884243,5.826189207693287,0.06805035726437564,33.6951343994556,0.9840982692590892
standard,7,0.4194903990602447,0.0005686891228843359,0.8396494666847589,0.008949107327246365,3328.717356213845,3.23524377087754,0.03402517863218782,32.143586253827834,0.981099146784738
standard,8,0.40193354527627745,0.000404916496120296,0.9066067671523939,0.0004978850891517987,3278.043722239973,1.1087132131051038,0.044232732221844165,30.129295678802315,0.9974969171815282
log_standard,2,0.4129618212961308,9.456930125928847e-06,0.9125596301748887,7.760193821770043e-05,5989.934163341548,0.003377183807944279,45.95100374276965,54.04899625723035,0.9986398622303998
log_standard,3,0.31111385189374113,4.422517295219548e-05,1.121626665225251,0.001033427051434557,4856.352448385331,0.214171128430913,25.719632528070775,37.801973460360664,0.9898763237934857
log_standard,4,0.29341134732545004,8.159655386362565e-05,1.1303868879890504,9.868796964179294e-05,4343.860222729327,0.07324594520199952,20.132698196665533,33.422932970398094,0.995908131585851
log_standard,5,0.2908084890812587,0.00015869713484243983,1.0911904653157511,0.0006267114370273505,3962.363707559541,0.02120357420959379,15.161619598502892,28.264715889758417,0.9922707107208503
log_standard,6,0.26089258860379333,0.0001308093001001757,1.1866136206836295,0.001179261263412288,3647.7397396932297,0.015663339898285535,9.979584892820686,21.721674038788706,0.9910633928515983
log_standard,7,0.2608464163972164,0.00015806687913428658,1.1663749039992113,0.0004840757815223534,3428.330170103722,0.03955601862579009,9.098332766247022,18.989452194624022,0.9931598619188179
log_standard,8,0.25399304443452503,3.3048810993278256e-05,1.185300166796787,0.0006506881565692262,3244.105591664707,0.02085666747983708,7.3596461381422245,18.788703640694116,0.9974421413813872
log_robust,2,0.40548998837053174,0.0,0.9205056520472128,0.0,5845.1399977184965,0.0,47.26097312010888,52.739026879891114,1.0
log_robust,3,0.3101610276985282,6.205283260464904e-05,1.1053191071680868,0.0007560153375813562,4826.672368893575,0.019273055450749327,25.137801973460363,39.61211296359306,0.9960409861328164
log_robust,4,0.283265911646129,9.15898667257024e-05,1.1893704186251646,0.0004900872485164893,4099.278970958323,0.3020906405658007,19.35352160598843,35.273902687989114,0.9880918545380789
log_robust,5,0.2801242912553362,0.0006794253174314515,1.0955484862807556,0.002231719334992662,3773.1964428465844,0.20744330627747745,15.665192242259272,29.77203130316434,0.9703222460416541
log_robust,6,0.252508340492798,1.4859670916397057e-05,1.1723771978932618,0.0005022518783274857,3484.398965210159,0.00467142930028287,9.44198707043212,23.501190881252125,0.9965259812822739
log_robust,7,0.2486552542956443,0.00022738537567666508,1.1993321989244652,0.0010187372314527407,3253.43151534945,0.46910046542477457,7.505954406260633,21.72507655665192,0.9530025837876224
log_robust,8,0.24857601566317894,3.311966721241184e-05,1.207213002195763,0.0013134556695606392,3077.984009053227,0.11519554072904052,7.189520244981287,18.846546444368833,0.9893923907893518
