preprocessing_strategy,k,random_state,silhouette_score,davies_bouldin,calinski_harabasz,cluster_sizes,smallest_cluster_size,largest_cluster_size,smallest_cluster_percentage,largest_cluster_percentage
standard,2,42,0.4136161620421256,1.0241144429217235,2522.922185247593,"{""0"": 2432, ""1"": 3446}",2432,3446,41.37461721674039,58.62538278325962
standard,2,7,0.4136161620421256,1.0241144429217235,2522.922185247593,"{""0"": 3446, ""1"": 2432}",2432,3446,41.37461721674039,58.62538278325962
standard,2,21,0.4136161620421256,1.0241144429217235,2522.922185247593,"{""0"": 2432, ""1"": 3446}",2432,3446,41.37461721674039,58.62538278325962
standard,2,84,0.4136161620421256,1.0241144429217235,2522.922185247593,"{""0"": 3446, ""1"": 2432}",2432,3446,41.37461721674039,58.62538278325962
standard,2,123,0.4135933886398006,1.0240374825515433,2522.924811915944,"{""0"": 3444, ""1"": 2434}",2434,3444,41.408642395372574,58.591357604627426
standard,3,42,0.41894159607004533,0.8875440687092268,3011.077695682232,"{""0"": 3339, ""1"": 2525, ""2"": 14}",14,3339,0.23817625042531473,56.80503572643756
standard,3,7,0.41894159607004533,0.8875440687092268,3011.077695682232,"{""0"": 3339, ""1"": 2525, ""2"": 14}",14,3339,0.23817625042531473,56.80503572643756
standard,3,21,0.41894159607004533,0.8875440687092268,3011.077695682232,"{""0"": 2525, ""1"": 3339, ""2"": 14}",14,3339,0.23817625042531473,56.80503572643756
standard,3,84,0.41894159607004533,0.8875440687092268,3011.077695682232,"{""0"": 3339, ""1"": 2525, ""2"": 14}",14,3339,0.23817625042531473,56.80503572643756
standard,3,123,0.41894159607004533,0.8875440687092269,3011.077695682232,"{""0"": 3339, ""1"": 14, ""2"": 2525}",14,3339,0.23817625042531473,56.80503572643756
standard,4,42,0.37922779257854855,0.9142018617805587,3071.8216830537935,"{""0"": 1867, ""1"": 14, ""2"": 1691, ""3"": 2306}",14,2306,0.23817625042531473,39.231030962912556
