preprocessing_strategy,k,cluster,customer_count,cluster_percentage,median_Recency,mean_Recency,median_Frequency,mean_Frequency,median_MonetaryValue,mean_MonetaryValue,median_TotalItems,mean_TotalItems,median_UniqueProducts,mean_UniqueProducts,median_AverageOrderValue,mean_AverageOrderValue,median_AverageItemsPerOrder,mean_AverageItemsPerOrder,median_CustomerLifetimeDays,mean_CustomerLifetimeDays,relative_Recency,relative_Frequency,relative_MonetaryValue,relative_TotalItems,relative_UniqueProducts,relative_AverageOrderValue,relative_AverageItemsPerOrder,relative_CustomerLifetimeDays
log_standard,3,0,1520,25.859135760462742,25.0,48.61644736842105,11.0,16.790131578947367,4153.389999999999,8882.144210526316,2350.0,5223.617105263158,155.5,195.69736842105263,351.21500000000003,463.61738815789477,202.54,278.46172368421054,622.0,594.5309210526316,substantially below overall median,substantially above overall median,substantially above overall median,substantially above overall median,substantially above overall median,above overall median,above overall median,substantially above overall median
log_standard,3,1,2132,36.27084042191221,406.0,383.63696060037523,1.0,1.4132270168855534,266.895,393.1699530956848,144.0,222.00984990619136,16.0,20.176360225140712,206.12,289.411660412758,109.75,168.00543621013134,0.0,30.92823639774859,substantially above overall median,substantially below overall median,substantially below overall median,substantially below overall median,substantially below overall median,below overall median,below overall median,substantially below overall median
log_standard,3,2,2226,37.87002381762504,72.0,132.4177897574124,3.0,3.789308176100629,990.175,1363.7496451033244,550.0,943.7237196765499,52.0,63.54716981132076,285.195,423.3463477088949,164.225,302.64583108715186,287.5,286.3351302785265,below overall median,near overall median,near overall median,near overall median,near overall median,near overall median,near overall median,above overall median
