algorithm,configuration,n_clusters,silhouette_score,davies_bouldin,calinski_harabasz,smallest_cluster_percentage,largest_cluster_percentage,noise_count,noise_percentage,cluster_sizes,ari_vs_corresponding_kmeans,fewer_than_two_clusters,noise_over_30_percent,has_cluster_below_1_percent,metrics_population
Hierarchical,"k=3, linkage=ward, metric=euclidean",3,0.26386017549254737,1.2311511431017816,4099.305567065798,23.698536917318815,42.44641034365431,0,0.0,"{""0"": 1990, ""1"": 1393, ""2"": 2495}",0.5789580667087892,False,False,False,all customers
Hierarchical,"k=4, linkage=ward, metric=euclidean",4,0.24490770714405663,1.187278078669335,3568.171079247512,14.937053419530452,42.44641034365431,0,0.0,"{""0"": 2495, ""1"": 1393, ""2"": 1112, ""3"": 878}",0.5567993667275722,False,False,False,all customers
